Year, Country ,Total,Solid Fuel
1889, INDONESIA ,1,1
1890, INDONESIA ,4,4
1891, INDONESIA ,6,6
1892, INDONESIA ,49,51
1893, INDONESIA ,110,49
1894, INDONESIA ,131,70
1895, INDONESIA ,210,93
1896, INDONESIA ,235,103
1897, INDONESIA ,302,118
1898, INDONESIA ,352,119
1899, INDONESIA ,307,135
1900, INDONESIA ,330,147
1901, INDONESIA ,612,148
1902, INDONESIA ,420,139
1903, INDONESIA ,819,153
1904, INDONESIA ,919,167
1905, INDONESIA ,1128,221
1906, INDONESIA ,1215,269
1907, INDONESIA ,1445,291
1908, INDONESIA ,1499,310
1909, INDONESIA ,1634,358
1910, INDONESIA ,1668,393
1911, INDONESIA ,1836,437
1912, INDONESIA ,1594,441
1913, INDONESIA ,1610,411
1914, INDONESIA ,1642,448
1915, INDONESIA ,1646,451
1916, INDONESIA ,1846,542
1917, INDONESIA ,1948,596
1918, INDONESIA ,1946,603
1919, INDONESIA ,2084,688
1920, INDONESIA ,2255,794
1921, INDONESIA ,2390,878
1922, INDONESIA ,2265,754
1923, INDONESIA ,2617,837
1924, INDONESIA ,2889,1048
1925, INDONESIA ,3024,1014
1926, INDONESIA ,3029,1062
1927, INDONESIA ,3517,1173
1928, INDONESIA ,4048,1234
1929, INDONESIA ,5060,1327
1930, INDONESIA ,4936,1355
1931, INDONESIA ,4611,1017
1932, INDONESIA ,4527,760
1933, INDONESIA ,4875,749
1934, INDONESIA ,5250,748
1935, INDONESIA ,5459,804
1936, INDONESIA ,5941,831
1937, INDONESIA ,6917,994
1938, INDONESIA ,7296,1055
1939, INDONESIA ,7970,1290
1940, INDONESIA ,7842,1455
1941, INDONESIA ,7229,1441
1942, INDONESIA ,2581,0
1943, INDONESIA ,5193,0
1944, INDONESIA ,2394,0
1945, INDONESIA ,1039,222
1946, INDONESIA ,367,114
1947, INDONESIA ,1107,161
1948, INDONESIA ,4229,391
1949, INDONESIA ,5978,479
1950, INDONESIA ,2683,557
1951, INDONESIA ,2563,577
1952, INDONESIA ,3472,670
1953, INDONESIA ,3570,593
1954, INDONESIA ,4025,613
1955, INDONESIA ,5689,579
1956, INDONESIA ,5953,623
1957, INDONESIA ,6117,523
1958, INDONESIA ,6061,438
1959, INDONESIA ,6513,485
1960, INDONESIA ,5837,497
1961, INDONESIA ,7097,417
1962, INDONESIA ,6271,355
1963, INDONESIA ,6213,435
1964, INDONESIA ,6107,329
1965, INDONESIA ,6733,208
1966, INDONESIA ,6380,245
1967, INDONESIA ,6698,169
1968, INDONESIA ,7523,129
1969, INDONESIA ,9106,153
1970, INDONESIA ,9769,118
1971, INDONESIA ,10632,151
1972, INDONESIA ,11819,143
1973, INDONESIA ,13399,97
1974, INDONESIA ,13979,120
1975, INDONESIA ,14716,149
1976, INDONESIA ,16856,122
1977, INDONESIA ,22480,139
1978, INDONESIA ,25616,149
1979, INDONESIA ,25933,178
1980, INDONESIA ,25848,193
1981, INDONESIA ,27314,216
1982, INDONESIA ,28745,235
1983, INDONESIA ,28622,327
1984, INDONESIA ,30593,514
1985, INDONESIA ,33064,1002
1986, INDONESIA ,33199,2199
1987, INDONESIA ,33644,2243
1988, INDONESIA ,36041,1887
1989, INDONESIA ,35715,1714
1990, INDONESIA ,40787,1896
1991, INDONESIA ,49013,3690
1992, INDONESIA ,55243,3414
1993, INDONESIA ,59613,5816
1994, INDONESIA ,60380,7273
1995, INDONESIA ,61342,6871
1996, INDONESIA ,69073,7522
1997, INDONESIA ,75991,8021
1998, INDONESIA ,58413,8754
1999, INDONESIA ,65991,10144
2000, INDONESIA ,71835,11458
2001, INDONESIA ,80422,16053
2002, INDONESIA ,83648,17251
2003, INDONESIA ,86390,17932
2004, INDONESIA ,92074,21198
2005, INDONESIA ,93262,24173
2006, INDONESIA ,94115,30398
2007, INDONESIA ,102412,35119
2008, INDONESIA ,113597,47247
2009, INDONESIA ,121737,47330
2010, INDONESIA ,116924,35295
2011, INDONESIA ,164621,75931
2012, INDONESIA ,173733,81711
2013, INDONESIA ,133686,39375
2014, INDONESIA ,126582,33370
