x,y
1,0
4,0
6,0
51,-3
49,62
70,61
93,116
103,132
118,184
119,233
135,172
147,183
148,464
139,281
153,666
167,752
221,907
269,946
291,1154
310,1189
358,1276
393,1275
437,1399
441,1153
411,1199
448,1194
451,1195
542,1304
596,1352
603,1343
688,1397
794,1461
878,1474
754,1470
837,1690
1048,1726
1014,1843
1062,1816
1173,2199
1234,2620
1327,3495
1355,3342
1017,3234
760,3397
749,3703
748,4046
804,4190
831,4667
994,5460
1055,5742
1290,6145
1455,5856
1441,5764
0,2581
0,5193
0,2394
222,817
114,253
161,932
391,3640
479,5189
557,1800
577,1561
670,2224
593,2240
613,2563
579,4090
623,4239
523,4425
438,4488
485,4813
497,4014
417,5274
355,4430
435,4267
329,4287
208,4822
245,4432
169,4810
129,5616
153,7515
118,7973
151,8618
143,9433
97,10566
120,10742
149,11123
122,12503
139,15382
149,17093
178,17307
193,18050
216,19197
235,20493
327,21213
514,20249
1002,21432
2199,21362
2243,20475
1887,23811
1714,23130
1896,22509
3690,28237
3414,31961
5816,32047
7273,30969
6871,31076
7522,34015
8021,39265
8754,30888
10144,28945
11458,42297
16053,40900
17251,42806
17932,44336
21198,47460
24173,47695
30398,41621
35119,45367
47247,43205
47330,49467
35295,53405
75931,57677
81711,59710
39375,65400
33370,63677
